Track Name,Artist,Album,Release Date,Spotify Duration (ms),Spotify Track URL,YouTube Original Video URL,Original Duration,YouTube Piano Solo Video URL,Piano Solo Duration,Year,Decade,Spotify Duration (min),Original Duration (min),Piano Duration (min),Diff_Original_Piano
Proibida Pra Mim (Grazon),Zeca Baleiro,Líricas,2000-01-01,195000,https://open.spotify.com/track/5Te6AchmV1n93VD6DUDN3X,https://www.youtube.com/watch?v=bsKDohqXkHI,231000,https://www.youtube.com/watch?v=68tma6cCfbM,165000.0,2000,2000,3.25,3.85,2.75,1.1
Gabriela,Jorge Ben Jor,Ben É Samba Bom,1964-01-01,172466,https://open.spotify.com/track/2aX5BhEPmmTnMMypJKnYhr,https://www.youtube.com/watch?v=m_bNANUMIno,173000,https://www.youtube.com/watch?v=J3KYKtnF8ys,130000.0,1964,1960,2.874433333333333,2.8833333333333333,2.1666666666666665,0.7166666666666668
Maria Bethânia,Caetano Veloso,Caetano Veloso,1971-01-01,415040,https://open.spotify.com/track/4GldaY02BCVmDp82TU1Cpg,https://www.youtube.com/watch?v=BT70w3VE_M8,287000,https://www.youtube.com/watch?v=WfTtUfe7AnQ,147000.0,1971,1970,6.917333333333334,4.783333333333333,2.45,2.333333333333333
Nos Seus Olhos,Nando Reis,Nos Seus Olhos,2023-12-06,215277,https://open.spotify.com/track/0yQz6wGUS38u6EZOV677Ie,https://www.youtube.com/watch?v=sO5vzPzG6rg,215000,https://www.youtube.com/watch?v=jKy54QfhZfg,253000.0,2023,2020,3.58795,3.5833333333333335,4.216666666666667,-0.6333333333333333
Sem Compromisso,Chico Buarque,Sinal Fechado,1974-01-01,159426,https://open.spotify.com/track/7qLNmIXoeIN9KkdBz4zndI,https://www.youtube.com/watch?v=7pn0i_Mcvis,160000,https://www.youtube.com/watch?v=kwpQD64VohY,93000.0,1974,1970,2.6571,2.6666666666666665,1.55,1.1166666666666665
Mensagem (Ao Vivo),Maria Bethânia,Carta de Amor (Ao Vivo),2013-11-26,227546,https://open.spotify.com/track/67bi6UHiULMLHXX1TSqxbP,https://www.youtube.com/watch?v=DkicFXYY5cY,218000,https://www.youtube.com/watch?v=Ldu6aR91CWE,153000.0,2013,2010,3.7924333333333333,3.6333333333333333,2.55,1.0833333333333335
Super Homem (A Canção) - Ao Vivo,Caetano Veloso,"Especial Ivete, Gil E Caetano (Ao Vivo No Projac, Rio De Janeiro / 2011)",2012-01-01,170466,https://open.spotify.com/track/2dts5w4Pk3okj0xPZBHINd,https://www.youtube.com/watch?v=ErI28ccVNHc,240000,https://www.youtube.com/watch?v=_BHimEcmwwI,220000.0,2012,2010,2.8411,4.0,3.6666666666666665,0.3333333333333335
Gente Humilde,Chico Buarque,Chico Buarque De Hollanda Nº4,1970-01-01,147840,https://open.spotify.com/track/24OF9ihv97VwNXQZ2gGy8v,https://www.youtube.com/watch?v=CqnaaJbSVRc,148000,https://www.youtube.com/watch?v=RxPHrvlrJF8,175000.0,1970,1970,2.464,2.466666666666667,2.9166666666666665,-0.44999999999999973
Eu E Água,Maria Bethânia,Maria,1988-07-14,203106,https://open.spotify.com/track/2H4egtr3Qnjwr6wc5uPyBJ,https://www.youtube.com/watch?v=Beq5BArfDn4,204000,https://www.youtube.com/watch?v=IO5ah0LouZo,153000.0,1988,1980,3.3851,3.4,2.55,0.8500000000000001
Ne Me Quitte Pas,Maria Gadú,Maria Gadú,2009-07-20,242266,https://open.spotify.com/track/1XKhDkF8bX5IxMO4QTirvl,https://www.youtube.com/watch?v=BjIHRK0phZ8,243000,https://www.youtube.com/watch?v=rR1M4XS1OY4,222000.0,2009,2000,4.037766666666666,4.05,3.7,0.34999999999999964
A Rosa,Djavan,Alumbramento,1980-01-03,262360,https://open.spotify.com/track/1bF1XtGmqeWPFrIy3PY4Tf,https://www.youtube.com/watch?v=Tvv0t6F0nV4,266000,https://www.youtube.com/watch?v=lMhITde9Cqk,207000.0,1980,1980,4.3726666666666665,4.433333333333334,3.45,0.9833333333333334
Nada Pra Mim,Ana Carolina,Ana Carolina,1999-01-01,219226,https://open.spotify.com/track/6TSlu4FAsiLN7wwjvq8BP0,https://www.youtube.com/watch?v=Vof3u7ZKDKQ,220000,https://www.youtube.com/watch?v=Ukz_wg4VJc4,234000.0,1999,1990,3.653766666666667,3.6666666666666665,3.9,-0.2333333333333334
Alguém Me Disse,Gal Costa,Plural,1990-07-31,226493,https://open.spotify.com/track/63hnaSGfoMIsikV5hiUeH9,https://www.youtube.com/watch?v=C25bGvAmMBA,218000,https://www.youtube.com/watch?v=XGIzbBJj3Dk,91000.0,1990,1990,3.7748833333333334,3.6333333333333333,1.5166666666666666,2.1166666666666667
Frevo Rasgado,Gilberto Gil,Gilberto Gil (1968),1968-01-01,114493,https://open.spotify.com/track/4FNLJVm0GewopT35lAZB1E,https://www.youtube.com/watch?v=8WlId3fzFvs,114000,https://www.youtube.com/watch?v=zzw2wVIEHck,113000.0,1968,1960,1.9082166666666667,1.9,1.8833333333333333,0.016666666666666607
Vem Espírito,Nelsinho Corrêa,Deus É +,1998-01-01,241600,https://open.spotify.com/track/3Lh4mc8hg9k1wzOG66p3lR,https://www.youtube.com/watch?v=JJkqjOdI4aQ,252000,https://www.youtube.com/watch?v=0_4e3tdpOIU,187000.0,1998,1990,4.026666666666666,4.2,3.1166666666666667,1.0833333333333335
Chegança,Antônio Nóbrega,Madeira Que Cupim Não Roi,1997-07-30,237800,https://open.spotify.com/track/59MJIiaZJb8QFKuMtqZJBd,https://www.youtube.com/watch?v=ewCnpLF1_CM,238000,https://www.youtube.com/watch?v=mgLs_cD--eg,166000.0,1997,1990,3.9633333333333334,3.966666666666667,2.7666666666666666,1.2000000000000002
Tua,ANAVITÓRIA,ANAVITÓRIA,2016-08-19,187734,https://open.spotify.com/track/1Nym0NDU9F0oeGVQPsgCbJ,https://www.youtube.com/watch?v=Ymp-rKbjEs0,190000,https://www.youtube.com/watch?v=XElXIHIndK0,234000.0,2016,2010,3.1289,3.1666666666666665,3.9,-0.7333333333333334
Num corpo só,Maria Rita,Samba Meu,2007-04-09,238000,https://open.spotify.com/track/076YPf69AwXWL5ZB6hi3YE,https://www.youtube.com/watch?v=Pu_9IzA3CC8,227000,https://www.youtube.com/watch?v=ubj_u0a1LAc,138000.0,2007,2000,3.966666666666667,3.783333333333333,2.3,1.4833333333333334
Começar De Novo,Ivan Lins,Cantando Historias Ivan Lins,2004-01-01,254880,https://open.spotify.com/track/7KspW1cellM4cxbRUBr7oX,https://www.youtube.com/watch?v=OKpx1FMNgaI,307000,https://www.youtube.com/watch?v=L9y3vqfVg9Q,171000.0,2004,2000,4.248,5.116666666666666,2.85,2.266666666666666
Flor Amorosa,Catulo da Paixão Cearense,Flor Amorosa,2018-09-05,237631,https://open.spotify.com/track/5et88TlwItwpenz3q37vnY,https://www.youtube.com/watch?v=-xwgCUWnhD8,264000,https://www.youtube.com/watch?v=XS3znI4l3zw,113000.0,2018,2010,3.9605166666666665,4.4,1.8833333333333333,2.516666666666667
Ainda é tempo,ANAVITÓRIA,COR,2021-01-01,99345,https://open.spotify.com/track/41OAXzXCrDCzRSlD1IBWtP,https://www.youtube.com/watch?v=Ji7eLq0kTFE,158000,https://www.youtube.com/watch?v=HLwKC-auZ-k,108000.0,2021,2020,1.65575,2.6333333333333333,1.8,0.8333333333333333
209,ANAVITÓRIA,N,2019-11-29,18373,https://open.spotify.com/track/6v91dGQTDzM9eP4R3znNy7,https://www.youtube.com/watch?v=gCkpOUG6AmI,162000,https://www.youtube.com/watch?v=inWOQ40HKZk,325000.0,2019,2010,0.3062166666666667,2.7,5.416666666666667,-2.716666666666667
Correnteza,Djavan,Malásia,1996-03-25,284640,https://open.spotify.com/track/4iEYGwXyeQmzS3rVwn3IyK,https://www.youtube.com/watch?v=Q_qPd5HYUSg,287000,https://www.youtube.com/watch?v=-73nMPjxnAA,208000.0,1996,1990,4.744,4.783333333333333,3.466666666666667,1.3166666666666664
A Cidade,Chico Science,Da Lama Ao Caos,1994-03-15,286666,https://open.spotify.com/track/2zSTvC7IA8EiD4cvo4VdVr,https://www.youtube.com/watch?v=WVT1XskxUZk,287000,https://www.youtube.com/watch?v=NAWvrHefrRg,135000.0,1994,1990,4.7777666666666665,4.783333333333333,2.25,2.533333333333333
A Praieira,Chico Science,Da Lama Ao Caos,1994-03-15,216293,https://open.spotify.com/track/4nFHE52xp9gnkFPy9ICkGe,https://www.youtube.com/watch?v=EXF1Aq2xDr4,217000,https://www.youtube.com/watch?v=NAWvrHefrRg,135000.0,1994,1990,3.6048833333333334,3.6166666666666667,2.25,1.3666666666666667
Na Linha Do Mar,Clara Nunes,Esperança,1979-05-22,181666,https://open.spotify.com/track/5Q6EMcGsEE00d0Zpv1zGEk,https://www.youtube.com/watch?v=em3B41ruqSQ,182000,https://www.youtube.com/watch?v=gSHv8yuO62Y,82000.0,1979,1970,3.0277666666666665,3.033333333333333,1.3666666666666667,1.6666666666666665
