Track Name,Artist,Album,Release Date,Popularity,Duration (ms),Track URL,Piano Solo Video,Duration (min:sec)
Encontros E Despedidas,Milton Nascimento,Encontros E Despedidas,1985-01-08,34,214080,https://open.spotify.com/track/4RfH0fVOtKKsEFINARThZ2,https://www.youtube.com/watch?v=LINMqdylb-k,3:34
Eu Te Devoro - Ao Vivo,Djavan,Ária (Ao Vivo),2011-07-18,61,308413,https://open.spotify.com/track/2Px3PZ2qq2uFpRBpfVx8A5,https://www.youtube.com/watch?v=omG50FTfYvU,5:08
Boa Sorte / Good Luck (feat. Ben Harper),Vanessa Da Mata,Sim,2007,60,235600,https://open.spotify.com/track/6A3Q8BVAAI2PW1s6MX4ZGF,https://www.youtube.com/watch?v=HslJFxYwIWE,3:55
O Caderno,Toquinho,Seu Violão e Suas Canções Vol. 1,2010-07-24,44,135133,https://open.spotify.com/track/1yctSMp7P3SkSCHsnkUI7b,https://www.youtube.com/watch?v=p5B_oanS0sY,2:15
Não Vá Embora - 2004 Digital Remaster,Marisa Monte,"Memórias, Crônicas e Declarações de Amor",2000-01-01,55,216613,https://open.spotify.com/track/7o5VPajBu55TxEjCQs05uw,https://www.youtube.com/watch?v=Djgj-aFRpZE,3:36
Borbulhas de Amor (Tenho um Coração) [Borbujas de Amor],Fagner,Pedras Que Cantam,1991-03-04,55,249280,https://open.spotify.com/track/3pUQEJXwmnooceL5DqluNA,https://www.youtube.com/watch?v=1miEIIUhZHg,4:09
Se Ainda Existe Amor,Balthazar,Cartas De Amor,2022-02-25,46,184499,https://open.spotify.com/track/3a9KbYhWqorkZPF0pFFPhE,https://www.youtube.com/watch?v=Pi97IXuyfuw,3:04
Espetáculo estranho,ANAVITÓRIA,Esquinas,2024-12-12,58,212699,https://open.spotify.com/track/7325x5azZOlWkYL9EpnqW5,https://www.youtube.com/watch?v=XEdNJysAfzU,3:32
Gente Tem Sobrenome,"Toquinho E Banda, Orquestra E Coro Do Projeto Guri",Herdeiros Do Futuro,2007-09-01,9,166813,https://open.spotify.com/track/4Gndr22JnGpVnaLX1J5S52,https://www.youtube.com/watch?v=cBCDJfE0rmk,2:46
Vilarejo,Marisa Monte,Infinito Particular,2006-01-01,61,209546,https://open.spotify.com/track/4qvUtYRNwmFzfJ2loWkQCH,https://www.youtube.com/watch?v=TrdtnUwTg5o,3:29
Não Sei Dançar,Marina Lima,Marina Lima,1991-01-01,54,305373,https://open.spotify.com/track/68WXIG8PyHuArBOOhSp6Wt,https://www.youtube.com/watch?v=p7-hxj6UVtk,5:05
Aquele Abraço,Gilberto Gil,Gilberto Gil (1969),1969-01-01,49,323773,https://open.spotify.com/track/7CjSjWTdVPD0ov82Qz55Xb,https://www.youtube.com/watch?v=ciLZ1YuDUZw,5:23
Quem de nós Dois (La Mia Storia Tra Le Dita),Ana Carolina,Ana Rita Joana Iracema Carolina,2001-04-23,57,305666,https://open.spotify.com/track/2yQMmtem48vOjB1OXAvbKD,https://www.youtube.com/watch?v=LWy1W1-NbGg,5:05
Shy Moon,Ritchie,Shy Moon,2025-02-14,35,208831,https://open.spotify.com/track/555G8t9LrZdAEuLSI2gxLh,https://www.youtube.com/watch?v=7utLX4cQQmY,3:28
